#INICIO|Bienvenido a este hermoso juego de decisiones. ¡Espero te encuentres en perfecto estado para disfrutar al máximo! Cada decisión que tomes puede o no afectar la característica más importante para nosotros los humanos, la cual es la salud. Ten mucho cuidado. Entonces, ¿Por cual maravillosa historia te gustaría empezar a jugar?|1
*VALHALA|Valhala. ¡La gloria puede estar en tus manos!|1
*BEASTANIMAL|Beast Animal. ¡Sal de tu rutina diaria tan aburrida y encuentra tu espiritú animal!|1
*GANAR|gana
*PIERDE|pierde

#GANAR|mataste a putin, un capo|1000
#PIERDE|te funó una feminista en Twiter, F.|-1000
#BEASTANIMAL| Eres Pablo… Pablo García; biólogo, intrépido aventurero y amante de la naturaleza. después de varios sucesos que en ti han dejado una gran marca de valor, decides vivir la mayor aventura que un ser humano pudiese vivir.  |100
*START| Empieza La aventura más feroz que hayas vivido. Meta: ¡Encontrar tu Espíritu Animal!!!

#START| Estás en supervivencia, en la densa selva del Amazonas. El bosque es muy frondoso, la visibilidad a lo lejos es nula. Te preguntas si existe alguna manera de hacer las cosas más fáciles...
*PEÑASCO_AL_RÍO| Seguir avanzando a tientas entre la maleza…
*MANOS_AL_SUELO| Buscas a tu alrededor algo que te pueda ayudar…

#PEÑASCO_AL_RÍO| En un abrir y cerrar de ojos resbalas desde lo alto de un peñasco, te encuentras cayendo, te golpeas con las ramas que crecen al borde del peñasco…sientes tus huesos crujir, caes al río y tu sangre comienza a esparcirse por el agua, no puedes moverte. Lo último que ven tus ojos son grandes fauces próximas a embestirte ...|-1000

#MANOS_AL_SUELO| Encuentras una piedra con borde afilado, tomas una gran rama y amarras la piedra, formaste un hacha… se está oscureciendo, date prisa en hacer una fogata.
*HUMO| Observas que hay humo cerca, decides investigar.
*RAMAS| Reúne las ramas de la maleza que cortaste.

#HUMO| Llegas al lugar, el humo proviene de una fogata…escuchas un gran soplo y piquete en el cuello…es un dardo, tiene veneno de la rana “Punta de Dardo” usado por nativos para la caza, y es el veneno más rápido en el mundo en conducir a la muerte…tan solo tres minutos después mueres...|-1000

#RAMAS| Tomas las ramas y mediante un método de supervivencia muy conocido generas fricción entre dos ramas con una base de hojas secas. Creas fuego y la euforia te domina como al prota de la peli de náufrago. 
*LUZ| Eso mantendrá alejado a las bestias.

#LUZ| Descansas un poco, a corta distancia ves una danta, tienes hambre, no puedes desperdiciar esta oportunidad y piensas si usar una roca o tu hacha para cazarla.
*ROCA| Te acercas y a una distancia prudente lanzas una roca. 
*TU_HACHA| Te quieres probar a ti mismo, así que usarás tu hacha.

#ROCA| Lanzas la roca, pero calculas mal el lanzamiento asustando a la danta y provocando que esta huya. |-50

#TU_HACHA | Durante 5 minutos o más te concentras en seguirla, estando lo suficientemente cerca la embistes, la golpeas con el poco filo del hacha y esta muere de insofacto, ¡Felicidades! ¡Recuperarás calorías… Espera!, Escuchas eso…Parece ser un jaguar.
*PASAR| Guardas silencio y dejas que pase.
*EXAMINAR| Haz recuperado energía gracias a la danta ahumada, decides analizar el terreno para ubicar algo que te pueda ser útil contra la bestia.

#EXAMINAR| Tras tomar un pedazo de madera empleada antes para hacer la fogata y el hacha:
*IMPETÚ| Te paras frente al jaguar, lo retas con la mirada y de la manera más osada lanzas un grito de Tarzan al ataque.
*ESTRATEGÍA| Con la paciencia e inteligencia que has cultivado desde tus años de universitario en biología, decides cubrirte del humo que escasamente desprendía la fogata y te escabulles entre la maleza mientras el jaguar busca los restos de una danta ya devorada.

#IMPETÚ| Sin embargo, el jaguar es más ágil y fuerte, entonces de un tirón te manda al suelo, el animal te arranca grandes pedazos de carne de la espalda, eres devorado vivo…nunca vuelves a casa, eres una decepción...|-1000

#ESTRATEGÍA| El jaguar baja la guardia, te enfocas en su lomo al cual te lanzas ágilmente, luego de esquivar sus garras atacas detrás de sus rodillas. En un intento desesperado la bestia te da un empujón muy grande…caes al lado de la fogata, el jaguar terminará contigo… buscas tu hacha y está en los bajos del jaguar. Está a punto de aplacarte, con apuros tomas un hueso de la danta partido y con una punta algo afilada que estaba al borde de la fogata, con una gambeta esquivas su placaje y lo apuñalas justo en el ojo con un impacto doble.
*INSTINTO| Está haciendo frío y la danta no era para siempre.
*PASAR| Tomas un descanso y buscas un nuevo refugio cerca del río.

#INSTINTO| Después de agradecer al espíritu del monte y a la selva, le permites al jaguar tomar su último aliento para luego despellejarlo y así hacerte un ropaje, conservas su carne lavándola y enrollándola en unas hojas de plátano y guardas su sangre como bebida. (Supervivencia +50) |50
*PASAR| Buscar un nuevo refugio cerca al río.

#PASAR| Avanzas por la jungla, te toma tres días llegar al río. después de instalarte cerca y fabricar un escudo con madera de ceiba y amarres de chambira además de optimizar tu hacha. 
*REFUGIO| Pronto lloverá, arma un refugio.

#REFUGIO| Logras mediante tiras de corteza de chambira y unas ramas hacer la estructura base de una pequeña especie de carpa, la cual después techas con grandes hojas de plátano, te sientes orgulloso… ¡cuando de repente!, una Gran Boa India emerge del río.
*CRUZAR_RÍO| Cruza el río, estarás a salvo.
*DEFENSA| Usa tu escudo para defenderte y la fuerza bruta en su contra.
*HACHA| Usa el hacha ahora tiene más filo y un mejor mango, dale chumbimba.

#CRUZAR_RÍO| Corres e intentas cruzar el río, sin darte cuenta, el boa decide seguirte…es más rápida en el agua, te muerde mientras se enrolla poco a poco en tu cuerpo. (Supervivencia - 50) |-50
*DEFENSA| Usa tu escudo para defenderte y la fuerza bruta en su contra.
