#INICIO|Bienvenido a este hermoso juego de decisiones. ¡Espero te encuentres en perfecto estado para disfrutar al máximo! Cada decisión que tomes puede o no afectar la característica más importante para nosotros los humanos, la cual es la salud. Ten mucho cuidado. Entonces, ¿Por cual maravillosa historia te gustaría empezar a jugar?|1
*VALHALA|Valhala. ¡La gloria puede estar en tus manos!|1
*BEASTANIMAL|Beast Animal. ¡Sal de tu rutina diaria tan aburrida y encuentra tu espiritú animal!|1

#BEASTANIMAL| Eres Pablo… Pablo García; Biólogo, Intrépido Aventurero Y Amante De La Naturaleza. Después De Varios Sucesos Que En Ti Han Dejado Una Gran Marca De Valor, Decides Vivir La Mayor Aventura Que Un Ser Humano Pudiese Vivir.|100
*START| Empieza La Aventura Más Feroz Que Hayas Vivido. Meta: ¡Encontrar Tu Espíritu Animal!!!

#START| Estás En Supervivencia, En La Densa Selva Del Amazonas. El Bosque Es Muy Frondoso, La Visibilidad A Lo Lejos Es Nula. Te Preguntas Si Existe Alguna Manera De Hacer Las Cosas Más Fáciles...
*PEÑASCO_AL_RÍO| Seguir Avanzando A Tientas Entre La Maleza…
*MANOS_AL_SUELO| Buscas A Tu Alrededor Algo Que Te Pueda Ayudar…

#PEÑASCO_AL_RÍO| En Un Abrir Y Cerrar De Ojos Resbalas Desde Lo Alto De Un Peñasco, Te Encuentras Cayendo, Te Golpeas Con Las Ramas Que Crecen Al Borde Del Peñasco…Sientes Tus Huesos Crujir, Caes Al Río Y Tu Sangre Comienza A Esparcirse Por El Agua, No Puedes Moverte. Lo Último Que Ven Tus Ojos Son Grandes Fauces Próximas A Embestirte ...|-1000

#MANOS_AL_SUELO| Encuentras Una Piedra Con Borde Afilado, Tomas Una Gran Rama Y Amarras La Piedra, Formaste Un Hacha… Se Está Oscureciendo, Date Prisa En Hacer Una Fogata.
*HUMO| Observas Que Hay Humo Cerca, Decides Investigar.
*RAMAS| Reúne Las Ramas De La Maleza Que Cortaste.

#HUMO| Llegas Al Lugar, El Humo Proviene De Una Fogata…Escuchas Un Gran Soplo Y Piquete En El Cuello…Es Un Dardo, Tiene Veneno De La Rana “Punta De Dardo” Usado Por Nativos Para La Caza, Y Es El Veneno Más Rápido En El Mundo En Conducir A La Muerte…Tan Solo Tres Minutos Después Mueres...|-1000

#RAMAS| Tomas Las Ramas Y Mediante Un Método De Supervivencia Muy Conocido Generas Fricción Entre Dos Ramas Con Una Base De Hojas Secas. Creas Fuego Y La Euforia Te Domina Como Al Prota De La Peli De Náufrago. 
*LUZ| Eso Mantendrá Alejado A Las Bestias.

